page_ptr	id	path	depth	numchild	title	draft_title	slug	content_type	live	has_unpublished_changes	url_path	owner	seo_title	show_in_menus	search_description	go_live_at	expire_at	expired	locked	first_published_at	last_published_at	latest_revision_created_at	live_revision	principal_investigator	description	name	start_date	end_date	budget	funding_agency	funding_agency_link	project_type	alt_PI_text
983	983	0001000100030003001V	5	0	R&D work on assessment of corrosion of the steel liner of the water conductor system of Kopili H.E. Plant and suggestion for selection of corrosion resistance system for the steel liner including a model study	R&D work on assessment of corrosion of the steel liner of the water conductor system of Kopili H.E. Plant and suggestion for selection of corrosion resistance system for the steel liner including a model study	66	16	1	0	/mech/research/projects/66/			0				0	0						Co Investigator(s) : Dr. A. Singh	R&D work on assessment of corrosion of the steel liner of the water conductor system of Kopili H.E. Plant and suggestion for selection of corrosion resistance system for the steel liner including a model study	2016-01-01	2019-01-01	27.19	NEEPCO		1	Dr. Chandan Das, Dr S. Pal
984	984	0001000100030003001W	5	0	Abrasive Flow Finishing of Micro to Macro Complex Features.	Abrasive Flow Finishing of Micro to Macro Complex Features.	67	16	1	0	/mech/research/projects/67/			0				0	0							Abrasive Flow Finishing of Micro to Macro Complex Features.	2016-01-01	2019-01-01	97	Department of Science and Technology (Under TSDP).		1	Dr. M. Ravi Sankar, Dr. Sunil Jha and Dr. Vimal Katiyar
985	985	0001000100030003001X	5	0	Numeric Methods for dynamic analysis of adhesive contact problems	Numeric Methods for dynamic analysis of adhesive contact problems	68	16	1	0	/mech/research/projects/68/			0				0	0							Numeric Methods for dynamic analysis of adhesive contact problems	2016-01-01	2019-01-01	32.26	SERB		1	Dr. S. S. Gautam
986	986	0001000100030003001Y	5	0	Development of A Nonlinear Finite Element Based Framework for Elasto-plastic Contact Problems	Development of A Nonlinear Finite Element Based Framework for Elasto-plastic Contact Problems	69	16	1	0	/mech/research/projects/69/			0				0	0							Development of A Nonlinear Finite Element Based Framework for Elasto-plastic Contact Problems	2016-01-01	2019-01-01	12.54	VSSC, ISRO, Trivandrum		1	Dr. S. S. Gautam
987	987	0001000100030003001Z	5	0	Feasibility Studies and Optimization of Electromagnetic Pulse Welding of Tubes for Nuclear Reactor Application	Feasibility Studies and Optimization of Electromagnetic Pulse Welding of Tubes for Nuclear Reactor Application	70	16	1	0	/mech/research/projects/70/			0				0	0							Feasibility Studies and Optimization of Electromagnetic Pulse Welding of Tubes for Nuclear Reactor Application	2016-01-01	2019-01-01	164	Board of Research in Nuclear Sciences (BRNS)		1	Dr. Sachin D. Kore
988	988	00010001000300030020	5	0	TePP OutReach cum Cluster Innovation Centre, IIT Guwahati	TePP OutReach cum Cluster Innovation Centre, IIT Guwahati	71	16	1	0	/mech/research/projects/71/			0				0	0							TePP OutReach cum Cluster Innovation Centre, IIT Guwahati	2016-01-01	2019-01-01	12	Department of Science and Industrial Research (DSIR)		1	Prof. P. Mahanta & Dr. Sachin D. Kore
989	989	00010001000300030021	5	0	Development and performance analysis of nanofluid based dielectric fluid as an insulant and coolant in power transformers	Development and performance analysis of nanofluid based dielectric fluid as an insulant and coolant in power transformers	72	16	1	0	/mech/research/projects/72/			0				0	0							Development and performance analysis of nanofluid based dielectric fluid as an insulant and coolant in power transformers	2016-01-01	2019-01-01	56.02	SERB		1	Prof. S. K. Dwivedy
990	990	00010001000300030022	5	0	Experimental investigation on the roughness- surface wettability coupling in capillary filling in microchannel	Experimental investigation on the roughness- surface wettability coupling in capillary filling in microchannel	73	16	1	0	/mech/research/projects/73/			0				0	0							Experimental investigation on the roughness- surface wettability coupling in capillary filling in microchannel	2016-01-01	2019-01-01	48.5	DST		1	Dr. P. K. Mondal, Prof. G. Biswas
991	991	00010001000300030023	5	0	Design and Development of Manually Operated Equipments for Bamboo Stripes Manufacturing	Design and Development of Manually Operated Equipments for Bamboo Stripes Manufacturing	74	16	1	0	/mech/research/projects/74/			0				0	0							Design and Development of Manually Operated Equipments for Bamboo Stripes Manufacturing	2015-01-01	2016-01-01	12.57	Scheme for Young Scientists & Technologist (SYST), SEED, DST		1	Dr. S. D. Kore
992	992	00010001000300030024	5	0	3D finite element simulations of fatigue crack growth in gas turbine disk	3D finite element simulations of fatigue crack growth in gas turbine disk	75	16	1	0	/mech/research/projects/75/			0				0	0						Co Investigator(s) : Dr. Sangamesh Deepak	3D finite element simulations of fatigue crack growth in gas turbine disk	2015-01-01	2017-01-01	16.4022	Gas Turbine Research Establishment, R&D, Ministry of Defence		1	Dr. K.S.R. Krishna Murthy
993	993	00010001000300030025	5	0	Nano Finishing of high aspect ratio Micro holes using Abrasive Flow Finishing (AFF) Process	Nano Finishing of high aspect ratio Micro holes using Abrasive Flow Finishing (AFF) Process	76	16	1	0	/mech/research/projects/76/			0				0	0						Co Investigator(s) : Dr. D. Chakraborty	Nano Finishing of high aspect ratio Micro holes using Abrasive Flow Finishing (AFF) Process	2015-01-01	2017-01-01	26.125	DEPARTMENT OF ATOMIC ENERGY (DAE), BOARD OF RESEARCH IN NUCLEAR SCIENCES (BRNS)		1	Dr. M. Ravi Sankar
994	994	00010001000300030026	5	0	Estimation of temperature distribution in laser welding	Estimation of temperature distribution in laser welding	77	16	1	0	/mech/research/projects/77/			0				0	0							Estimation of temperature distribution in laser welding	2015-01-01	2016-01-01	9.7	DRDL, Hyderabad		1	Dr. U.S. Dixit
995	995	00010001000300030027	5	0	Modeling of Advanced Materials for Simulation of Transformative manufacturing processes 	Modeling of Advanced Materials for Simulation of Transformative manufacturing processes 	78	16	1	0	/mech/research/projects/78/			0				0	0						Co Investigator(s) : Dr. P. Biswas	Modeling of Advanced Materials for Simulation of Transformative manufacturing processes 	2015-01-01	2017-01-01	20.936	DST-EPSRC		1	Dr. U.S. Dixit
996	996	00010001000300030028	5	0	Studies on Premature Failure of Thordon Bearings	Studies on Premature Failure of Thordon Bearings	79	16	1	0	/mech/research/projects/79/			0				0	0							Studies on Premature Failure of Thordon Bearings	2015-01-01	2016-01-01	8.1	NIRDESH( National Insitute of R & D in Defence Ship Building)		1	Dr. S. Senthilvelan
997	997	00010001000300030029	5	0	Thermal insulation material in lieu of ceramic wool	Thermal insulation material in lieu of ceramic wool	80	16	1	0	/mech/research/projects/80/			0				0	0						Co Investigator(s) : Dr S Kanagaraj	Thermal insulation material in lieu of ceramic wool	2015-01-01	2016-01-01	8.9672	NIRDESH		1	Dr. S. Kanagaraj
998	998	0001000100030003002A	5	0	Fabrication and characterization of the next generation material for articulating surface in total joint replacements using medical grade UHMWPE reinforced with nanocrystalline hydroxyapatite and single walled carbon nanotubes	Fabrication and characterization of the next generation material for articulating surface in total joint replacements using medical grade UHMWPE reinforced with nanocrystalline hydroxyapatite and single walled carbon nanotubes	81	16	1	0	/mech/research/projects/81/			0				0	0						Co Investigator(s) : Dr. S.Senthilvelan	Fabrication and characterization of the next generation material for articulating surface in total joint replacements using medical grade UHMWPE reinforced with nanocrystalline hydroxyapatite and single walled carbon nanotubes	2015-01-01	2018-01-01	47.3	SERB, DST		1	Dr. S. Kanagaraj
999	999	0001000100030003002B	5	0	Combined Influences of Electromagnetic effect and Surface wettability on the Contact Line Dynamics of Immiscible Fluids in a Microfluidic Channel	Combined Influences of Electromagnetic effect and Surface wettability on the Contact Line Dynamics of Immiscible Fluids in a Microfluidic Channel	82	16	1	0	/mech/research/projects/82/			0				0	0						Co Investigator(s) : Prof.Bikramjit Basu, IISc Bangalore and Dr.D.C.Sundaresh, M S Ramaiah Medical College & Hospitals, Bangalore	Combined Influences of Electromagnetic effect and Surface wettability on the Contact Line Dynamics of Immiscible Fluids in a Microfluidic Channel	2015-01-01	2017-01-01	5	IIT Guwahati		1	Dr. P. K. Mondal
1000	1000	0001000100030003002C	5	0	Calibration Methods of High Frequency Thermal Sensors for Localized Temperature and Heat Flux Measurements in Gas Turbine and Internal Combustion Engine Application 	Calibration Methods of High Frequency Thermal Sensors for Localized Temperature and Heat Flux Measurements in Gas Turbine and Internal Combustion Engine Application 	83	16	1	0	/mech/research/projects/83/			0				0	0							Calibration Methods of High Frequency Thermal Sensors for Localized Temperature and Heat Flux Measurements in Gas Turbine and Internal Combustion Engine Application 	2015-01-01	2017-01-01	34.98	ARDB		1	Dr. Niranjan Sahoo
1001	1001	0001000100030003002D	5	0	Performance and emission studies on biofuel blended with high oxygen storage capacity nanoparticles using an indirect injection engine	Performance and emission studies on biofuel blended with high oxygen storage capacity nanoparticles using an indirect injection engine	84	16	1	0	/mech/research/projects/84/			0				0	0						Co Investigator(s) : Dr. Vinayak Kulkarni	Performance and emission studies on biofuel blended with high oxygen storage capacity nanoparticles using an indirect injection engine	2015-01-01	2018-01-01	11.64	DBT		1	Dr. C. Somayaji
1002	1002	0001000100030003002E	5	0	Boiling Heat Transfer (Under GIAN Programme)	Boiling Heat Transfer (Under GIAN Programme)	85	16	1	0	/mech/research/projects/85/			0				0	0							Boiling Heat Transfer (Under GIAN Programme)	2015-01-01	2018-01-01	6.9	MHRD		1	Dr. G. Biswas
1003	1003	0001000100030003002F	5	0	Nano Finishing of High Aspect ratio Micro holes using Abrasive Flow Finishing Process	Nano Finishing of High Aspect ratio Micro holes using Abrasive Flow Finishing Process	86	16	1	0	/mech/research/projects/86/			0				0	0							Nano Finishing of High Aspect ratio Micro holes using Abrasive Flow Finishing Process	2015-01-01	2018-01-01	22.65	BRNS		1	Dr. M. Ravi Shankar
1004	1004	0001000100030003002G	5	0	Study of Deformation Behavior and Multiple Fracture Mechanisms of Metallic Alloys Under High Strain Rate Loading Conditions	Study of Deformation Behavior and Multiple Fracture Mechanisms of Metallic Alloys Under High Strain Rate Loading Conditions	87	16	1	0	/mech/research/projects/87/			0				0	0							Study of Deformation Behavior and Multiple Fracture Mechanisms of Metallic Alloys Under High Strain Rate Loading Conditions	2015-01-01	2018-01-01	5	IITG		1	Dr. P. Khanikar
1005	1005	0001000100030003002H	5	0	Development and performance evaluation of a 3kWe biogas based power generation system utilizing lignocellular biomass	Development and performance evaluation of a 3kWe biogas based power generation system utilizing lignocellular biomass	88	16	1	0	/mech/research/projects/88/			0				0	0							Development and performance evaluation of a 3kWe biogas based power generation system utilizing lignocellular biomass	2015-01-01	2018-01-01	14.29	MNRE		1	Dr. P. Mahanta
1006	1006	0001000100030003002I	5	0	Development of a single station hip joint wear simulator for simulated in vivo characterization of acetabulum cups	Development of a single station hip joint wear simulator for simulated in vivo characterization of acetabulum cups	89	16	1	0	/mech/research/projects/89/			0				0	0							Development of a single station hip joint wear simulator for simulated in vivo characterization of acetabulum cups	2014-01-01	2017-01-01	43.4	SERB, DST		1	Dr. S. Kanagaraj
1007	1007	0001000100030003002J	5	0	Manufacturing of Hand Tools, Dies and Fixtures for Bamboo Stripes	Manufacturing of Hand Tools, Dies and Fixtures for Bamboo Stripes	90	16	1	0	/mech/research/projects/90/			0				0	0						Co Investigator(s) : Dr. S. Senthilvelan	Manufacturing of Hand Tools, Dies and Fixtures for Bamboo Stripes	2014-01-01	2015-01-01	1	RuTAG, NE,  IITG		1	Dr. S. D. Kore
1008	1008	0001000100030003002K	5	0	Development of three-dimensional solutions for piezoelectric plates              	Development of three-dimensional solutions for piezoelectric plates              	91	16	1	0	/mech/research/projects/91/			0				0	0							Development of three-dimensional solutions for piezoelectric plates              	2014-01-01	2016-01-01	5	IIT Guwahati		1	Dr. Poonam Kumari
1009	1009	0001000100030003002L	5	0	Laser based Calibration Methodology for Thermal Sensors in Combustion Measurements 	Laser based Calibration Methodology for Thermal Sensors in Combustion Measurements 	92	16	1	0	/mech/research/projects/92/			0				0	0							Laser based Calibration Methodology for Thermal Sensors in Combustion Measurements 	2014-01-01	2016-01-01	12.4	DRDO		1	Dr. Niranjan Sahoo
1010	1010	0001000100030003002M	5	0	Application of Topology Optimization to Compliant Switches and Inverse Boundary Value Problem	Application of Topology Optimization to Compliant Switches and Inverse Boundary Value Problem	93	16	1	0	/mech/research/projects/93/			0				0	0						Co Investigator(s) : Dr. Vinayak Kulkarni	Application of Topology Optimization to Compliant Switches and Inverse Boundary Value Problem	2014-01-01	2017-01-01	5	SG-IITG		1	Dr. A. N. Reddy
1011	1011	0001000100030003002N	5	0	A Pilot project on Ishan Vikas	A Pilot project on Ishan Vikas	94	16	1	0	/mech/research/projects/94/			0				0	0							A Pilot project on Ishan Vikas	2014-01-01	2017-01-01	610.75	MHRD		1	Dr. G. Biswas
1012	1012	0001000100030003002O	5	0	Fabrication and characterization of the next generation materials for articulating surface in total joint replacements using medical grade UHMWPE reinforced with nanocrystalline hydroxyapatite and single walled carbon nanotubes	Fabrication and characterization of the next generation materials for articulating surface in total joint replacements using medical grade UHMWPE reinforced with nanocrystalline hydroxyapatite and single walled carbon nanotubes	95	16	1	0	/mech/research/projects/95/			0				0	0							Fabrication and characterization of the next generation materials for articulating surface in total joint replacements using medical grade UHMWPE reinforced with nanocrystalline hydroxyapatite and single walled carbon nanotubes	2014-01-01	2017-01-01	49.3	SERB		1	Dr. S. Kanagaraj
1013	1013	0001000100030003002P	5	0	Development of computation Algorithms for Dynamic Adhesive Contact Problems	Development of computation Algorithms for Dynamic Adhesive Contact Problems	96	16	1	0	/mech/research/projects/96/			0				0	0							Development of computation Algorithms for Dynamic Adhesive Contact Problems	2014-01-01	2017-01-01	5	SG-IITG		1	Dr. S. S. Gautam
1014	1014	0001000100030003002Q	5	0	Modelling of advanced materials for simulation of transformative manufacturing processes	Modelling of advanced materials for simulation of transformative manufacturing processes	97	16	1	0	/mech/research/projects/97/			0				0	0							Modelling of advanced materials for simulation of transformative manufacturing processes	2014-01-01	2017-01-01	11.96	DST		1	Dr. U.S. Dixit
1015	1015	0001000100030003002R	5	0	Analysis of Supercritical Natural Circulation Loops with Water and Carbon Dioxide as Working Medium	Analysis of Supercritical Natural Circulation Loops with Water and Carbon Dioxide as Working Medium	98	16	1	0	/mech/research/projects/98/			0				0	0							Analysis of Supercritical Natural Circulation Loops with Water and Carbon Dioxide as Working Medium	2013-01-01	2016-01-01	9.46	DST		1	Dr. D. N. Basu
1016	1016	0001000100030003002S	5	0	Design and Development of a Controller for Bridge Configured Winding based Bearing-less Motor 	Design and Development of a Controller for Bridge Configured Winding based Bearing-less Motor 	99	16	1	0	/mech/research/projects/99/			0				0	0							Design and Development of a Controller for Bridge Configured Winding based Bearing-less Motor 	2013-01-01	2016-01-01	90	DIT		1	Dr. K. Kalita
1017	1017	0001000100030003002T	5	0	Design development and performance assessment of variable compression engine	Design development and performance assessment of variable compression engine	100	16	1	0	/mech/research/projects/100/			0				0	0							Design development and performance assessment of variable compression engine	2013-01-01	2015-01-01	18.05	DST		1	Dr. V. Kulkarni
1018	1018	0001000100030003002U	5	0	Development and Experimental Characterization of a Supercritical Natural Circulation Loop Considering Steady-state and Stability Aspects	Development and Experimental Characterization of a Supercritical Natural Circulation Loop Considering Steady-state and Stability Aspects	101	16	1	0	/mech/research/projects/101/			0				0	0							Development and Experimental Characterization of a Supercritical Natural Circulation Loop Considering Steady-state and Stability Aspects	2013-01-01	2015-01-01	5	IITG		1	Dr. D. N. Basu
1019	1019	0001000100030003002V	5	0	Development of a conjugate heat transfer solver for hypersonic applications	Development of a conjugate heat transfer solver for hypersonic applications	102	16	1	0	/mech/research/projects/102/			0				0	0							Development of a conjugate heat transfer solver for hypersonic applications	2013-01-01	2015-01-01	10.63	ARDB		1	Dr. V. Kulkarni
1020	1020	0001000100030003002W	5	0	Development of a General Purpose CFD Solver over a Hybrid Unstructured Grid	Development of a General Purpose CFD Solver over a Hybrid Unstructured Grid	103	16	1	0	/mech/research/projects/103/			0				0	0						Co Investigator(s) : Dr. N. Sahoo, Dr. G. Natarajan	Development of a General Purpose CFD Solver over a Hybrid Unstructured Grid	2013-01-01	2018-01-01	300.88	BRNS		1	Dr. A. Dalal
1021	1021	0001000100030003002X	5	0	Development of High Performance Computing Tool For Structure Topology Optimization Using Multi-Objective Evolutionary Algorithm	Development of High Performance Computing Tool For Structure Topology Optimization Using Multi-Objective Evolutionary Algorithm	104	16	1	0	/mech/research/projects/104/			0				0	0						Co Investigator(s) : Dr. G. Natarajan	Development of High Performance Computing Tool For Structure Topology Optimization Using Multi-Objective Evolutionary Algorithm	2013-01-01	2016-01-01	12.12	SERB		1	Dr. D. Sharma
1022	1022	0001000100030003002Y	5	0	Electromagnetic Shearing of tubes	Electromagnetic Shearing of tubes	105	16	1	0	/mech/research/projects/105/			0				0	0							Electromagnetic Shearing of tubes	2013-01-01	2016-01-01	18.5	DST		1	Dr. S. D. Kore
1023	1023	0001000100030003002Z	5	0	Experimental investigation and numerical modeling of plasma micro welding for similar type materials	Experimental investigation and numerical modeling of plasma micro welding for similar type materials	106	16	1	0	/mech/research/projects/106/			0				0	0							Experimental investigation and numerical modeling of plasma micro welding for similar type materials	2013-01-01	2016-01-01	22.2	SERB		1	Dr. S. Bag
1024	1024	00010001000300030030	5	0	Feasibility Studies of Generating Electric Power using Helical Water Turbine	Feasibility Studies of Generating Electric Power using Helical Water Turbine	107	16	1	0	/mech/research/projects/107/			0				0	0							Feasibility Studies of Generating Electric Power using Helical Water Turbine	2013-01-01	2015-01-01	27.2	APGCL		1	Dr. V. Kulkarni
1025	1025	00010001000300030031	5	0	Improving productivity and product quality in machining of thin-walled components	Improving productivity and product quality in machining of thin-walled components	108	16	1	0	/mech/research/projects/108/			0				0	0						Co Investigator(s) : Dr. U. K. Saha E et al.	Improving productivity and product quality in machining of thin-walled components	2013-01-01	2015-01-01	37.9	DST		1	Dr. S. N. Joshi
1026	1026	00010001000300030032	5	0	Numerical Modeling of All-Vanadium Redox Flow Battery	Numerical Modeling of All-Vanadium Redox Flow Battery	109	16	1	0	/mech/research/projects/109/			0				0	0							Numerical Modeling of All-Vanadium Redox Flow Battery	2013-01-01	2016-01-01	16.08	DST		1	Dr. A. Dalal
1027	1027	00010001000300030033	5	0	Small-scale Anaerobic Digestion? under the Rural Hybrid Energy-Enterprise Systems	Small-scale Anaerobic Digestion? under the Rural Hybrid Energy-Enterprise Systems	110	16	1	0	/mech/research/projects/110/			0				0	0							Small-scale Anaerobic Digestion? under the Rural Hybrid Energy-Enterprise Systems	2013-01-01	2016-01-01	82.684	DST		1	Dr. P. Mahanta
1028	1028	00010001000300030034	5	0	Development of Computational Algorithms for Dynamic Adhesive Contact Problems	Development of Computational Algorithms for Dynamic Adhesive Contact Problems	111	16	1	0	/mech/research/projects/111/			0				0	0						Co Investigator(s) : Dr. P. S. Robi et al.	Development of Computational Algorithms for Dynamic Adhesive Contact Problems	2013-01-01	2016-01-01	5	IIT Guwahati		1	Dr. S. S. Gautam
1029	1029	00010001000300030035	5	0	Walking Apparatus: Concept Validation, Feasibility, Prototyping & Testing	Walking Apparatus: Concept Validation, Feasibility, Prototyping & Testing	112	16	1	0	/mech/research/projects/112/			0				0	0							Walking Apparatus: Concept Validation, Feasibility, Prototyping & Testing	2012-01-01	2014-01-01	95	MEIT		1	Dr. S. K. Dwivedy
1030	1030	00010001000300030036	5	0	Shock Tube Development and Verification of Capabilities of Existing Correlation for Stagnation Point Heat Transfer rate	Shock Tube Development and Verification of Capabilities of Existing Correlation for Stagnation Point Heat Transfer rate	113	16	1	0	/mech/research/projects/113/			0				0	0						Co Investigator(s) : Dr. P. S. Robi/H B Nemade(EEE)	Shock Tube Development and Verification of Capabilities of Existing Correlation for Stagnation Point Heat Transfer rate	2012-01-01	2014-01-01	16.043	ARDB		1	Dr. N. Sahoo
1031	1031	00010001000300030037	5	0	Poverty Alleivation through Mechanization of spawn production of mushroom	Poverty Alleivation through Mechanization of spawn production of mushroom	114	16	1	0	/mech/research/projects/114/			0				0	0						Co Investigator(s) : Dr. V. Kulkarni	Poverty Alleivation through Mechanization of spawn production of mushroom	2012-01-01	2014-01-01	36.96	North East Council, Shillong		1	Dr. S. K. Kakoty
1032	1032	00010001000300030038	5	0	Parallel Computing Tool for Structural Optimization of Mechanical Components using Evolutionary Algorithm	Parallel Computing Tool for Structural Optimization of Mechanical Components using Evolutionary Algorithm	115	16	1	0	/mech/research/projects/115/			0				0	0							Parallel Computing Tool for Structural Optimization of Mechanical Components using Evolutionary Algorithm	2012-01-01	2014-01-01	5	IITG		1	Dr. D. Sharma
1033	1033	00010001000300030039	5	0	Active control of harmonically excited nonlinear vibrations of functionally graded cylindrical shells using PFRC constrained layer damping treatment	Active control of harmonically excited nonlinear vibrations of functionally graded cylindrical shells using PFRC constrained layer damping treatment	116	16	1	0	/mech/research/projects/116/			0				0	0							Active control of harmonically excited nonlinear vibrations of functionally graded cylindrical shells using PFRC constrained layer damping treatment	2012-01-01	2015-01-01	10.32	SERB		1	Dr. S. Panda
1034	1034	0001000100030003003A	5	0	Active Vibration Control in Electrical Machines using Built-in Actuator 	Active Vibration Control in Electrical Machines using Built-in Actuator 	117	16	1	0	/mech/research/projects/117/			0				0	0							Active Vibration Control in Electrical Machines using Built-in Actuator 	2012-01-01	2015-01-01	35	DST		1	Dr. K. Kalita
1035	1035	0001000100030003003B	5	0	Analysis of the Combined Mode Heat Transfer in Complex Materials	Analysis of the Combined Mode Heat Transfer in Complex Materials	118	16	1	0	/mech/research/projects/118/			0				0	0							Analysis of the Combined Mode Heat Transfer in Complex Materials	2012-01-01	2013-01-01	0	Institute of Fluid Science, Tohoku University		1	Dr. S. C. Mishra
1036	1036	0001000100030003003C	5	0	Application of topology optimization to compliant switches and inverse boundary value problem,	Application of topology optimization to compliant switches and inverse boundary value problem,	119	16	1	0	/mech/research/projects/119/			0				0	0						Co Investigator(s) : Dr. Shigenao Maruyama	Application of topology optimization to compliant switches and inverse boundary value problem,	2012-01-01	2014-01-01	5	IITG		1	Dr. N. Reddy
1037	1037	0001000100030003003D	5	0	Building Global engagements in research (energy)- EPSRC funded-2 years	Building Global engagements in research (energy)- EPSRC funded-2 years	120	16	1	0	/mech/research/projects/120/			0				0	0							Building Global engagements in research (energy)- EPSRC funded-2 years	2012-01-01	2014-01-01	4.326	EPSRC		1	Dr. P. Mahanta
1038	1038	0001000100030003003E	5	0	Design and Development of Micro Abrasive Flow Finishing Process 	Design and Development of Micro Abrasive Flow Finishing Process 	121	16	1	0	/mech/research/projects/121/			0				0	0							Design and Development of Micro Abrasive Flow Finishing Process 	2012-01-01	2014-01-01	5	IITG		1	Dr. M. Ravi Shankar
1039	1039	0001000100030003003F	5	0	Design and Development of Shape Memory Alloy Actuated Flexible Endoscope for Diagnosis and Surgery 	Design and Development of Shape Memory Alloy Actuated Flexible Endoscope for Diagnosis and Surgery 	122	16	1	0	/mech/research/projects/122/			0				0	0							Design and Development of Shape Memory Alloy Actuated Flexible Endoscope for Diagnosis and Surgery 	2012-01-01	2015-01-01	57	DBT		1	Dr. A. Banerjee
1040	1040	0001000100030003003G	5	0	Design of 25kWe circulating fluidized bed unit	Design of 25kWe circulating fluidized bed unit	123	16	1	0	/mech/research/projects/123/			0				0	0						Co Investigator(s) : Dr. K. Kalita	Design of 25kWe circulating fluidized bed unit	2012-01-01	2015-01-01	35	CPRI		1	Dr. P. Mahanta
1041	1041	0001000100030003003H	5	0	Developing light weight, durable and user friendly artificial limbs through Nanotechnology-based modification of conventional materials and optimizing mechanical component design for enhancing their functional performance	Developing light weight, durable and user friendly artificial limbs through Nanotechnology-based modification of conventional materials and optimizing mechanical component design for enhancing their functional performance	124	16	1	0	/mech/research/projects/124/			0				0	0							Developing light weight, durable and user friendly artificial limbs through Nanotechnology-based modification of conventional materials and optimizing mechanical component design for enhancing their functional performance	2012-01-01	2015-01-01	56.87	DBT		1	Dr. S. Kanagaraj
1042	1042	0001000100030003003I	5	0	Development of Experimental Facility for Flow Visualization of Fuel Sprays and Two-phase Flows	Development of Experimental Facility for Flow Visualization of Fuel Sprays and Two-phase Flows	125	16	1	0	/mech/research/projects/125/			0				0	0							Development of Experimental Facility for Flow Visualization of Fuel Sprays and Two-phase Flows	2012-01-01	2014-01-01	5	IITG		1	Dr. H. Gadgil
1043	1043	0001000100030003003J	5	0	Development of Monitoring System for Friction Stir Welding	Development of Monitoring System for Friction Stir Welding	126	16	1	0	/mech/research/projects/126/			0				0	0							Development of Monitoring System for Friction Stir Welding	2012-01-01	2015-01-01	9.24	DST		1	Dr. S. Pal
1044	1044	0001000100030003003K	5	0	Development of Remote triggered Virtual Robotics Lab	Development of Remote triggered Virtual Robotics Lab	127	16	1	0	/mech/research/projects/127/			0				0	0							Development of Remote triggered Virtual Robotics Lab	2012-01-01	2014-01-01	55.4	MHRD		1	Dr. S. K. Dwivedy
1045	1045	0001000100030003003L	5	0	Development of thermal energy storage systems for solar thermal power plant	Development of thermal energy storage systems for solar thermal power plant	128	16	1	0	/mech/research/projects/128/			0				0	0							Development of thermal energy storage systems for solar thermal power plant	2012-01-01	2014-01-01	128	DST		1	Dr. P. Muthukumar
1046	1046	0001000100030003003M	5	0	FP7 Project iComFluid under Marie Curie Action ?International Research Staff Exchage Scheme?, IRSES (FP7_PEOPLE-2012-IRSES, Project No. 212261)- 	FP7 Project iComFluid under Marie Curie Action ?International Research Staff Exchage Scheme?, IRSES (FP7_PEOPLE-2012-IRSES, Project No. 212261)- 	129	16	1	0	/mech/research/projects/129/			0				0	0							FP7 Project iComFluid under Marie Curie Action ?International Research Staff Exchage Scheme?, IRSES (FP7_PEOPLE-2012-IRSES, Project No. 212261)- 	2012-01-01	2016-01-01	0	EU		1	Dr. P. Mahanta
1047	1047	0001000100030003003N	5	0	Modeling and active control of SMA actuators	Modeling and active control of SMA actuators	130	16	1	0	/mech/research/projects/130/			0				0	0							Modeling and active control of SMA actuators	2012-01-01	2015-01-01	17	DST		1	Dr. A. Banerjee
1048	1048	0001000100030003003O	5	0	Nano finishing of Freeform Surfaces using magneto rheological Fluid-based Finishing (MRFF) Process	Nano finishing of Freeform Surfaces using magneto rheological Fluid-based Finishing (MRFF) Process	131	16	1	0	/mech/research/projects/131/			0				0	0							Nano finishing of Freeform Surfaces using magneto rheological Fluid-based Finishing (MRFF) Process	2012-01-01	2015-01-01	41	DST		1	Dr. M. Das
1049	1049	0001000100030003003P	5	0	Nano finishing using Magneto rheological Finishing (MRF) Technique	Nano finishing using Magneto rheological Finishing (MRF) Technique	132	16	1	0	/mech/research/projects/132/			0				0	0							Nano finishing using Magneto rheological Finishing (MRF) Technique	2012-01-01	2014-01-01	5	IITG		1	Dr. M. Das
1050	1050	0001000100030003003Q	5	0	Numerical investigation of turbulent rotating Rayleigh-Bernard convection in a cylindrical cell	Numerical investigation of turbulent rotating Rayleigh-Bernard convection in a cylindrical cell	133	16	1	0	/mech/research/projects/133/			0				0	0							Numerical investigation of turbulent rotating Rayleigh-Bernard convection in a cylindrical cell	2012-01-01	2015-01-01	10.5	DST		1	Dr. A. K. De
1051	1051	0001000100030003003R	5	0	Development of Copper (Cu) – Carbon Nanomaterial (CN) based nanocomposite formulations for heat recovery in different processes in a steel plant	Development of Copper (Cu) – Carbon Nanomaterial (CN) based nanocomposite formulations for heat recovery in different processes in a steel plant	134	16	1	0	/mech/research/projects/134/			0				0	0							Development of Copper (Cu) – Carbon Nanomaterial (CN) based nanocomposite formulations for heat recovery in different processes in a steel plant	2012-01-01	2015-01-01	336	Steel Development Fund, Ministry of Steel, India, and M/s Tata Steel, Jamshedpur		1	Dr. S. Kanagaraj
1052	1052	0001000100030003003S	5	0	Utilization of Bio-waste for Generating Power in Diesel Engines 	Utilization of Bio-waste for Generating Power in Diesel Engines 	135	16	1	0	/mech/research/projects/135/			0				0	0						Co Investigator(s) : Dr.S. Ramaprabhu, Physics, Indian Institute of Technology Madras, Dr. Prathab Baskar and Dr. Sumitesh Das, Chief, R&D division, Tata Steel, Jamshedpur	Utilization of Bio-waste for Generating Power in Diesel Engines 	2011-01-01	2014-01-01	9.91	DRDO		1	Dr. U. K. Saha
