"Authors","Title","Year","Journal","Volume","Issue","Page_Start","Page_End","Citations"
"D. Bandopadhya, B. Bhattacharya, A. Dutta","Pseudo-Rigid Body Modeling of IPMC for a Partially Compliant 4-bar Mechanism for Work Volume Generation","2008","Journal of Intelligent Material Systems and Structures","20","1","51","61","0"
"R. Muthukumaran and S.C. Mishra","Radiative transfer of a short-pulse laser wave of Gaussian temporal profile through a 2-D participating medium containing inhomogeneities of different shapes at various locations","2008","Numerical Heat Transfer, Part A","54","-","546","567","3"
"A.K Sarma ,J.K.Sarmah, L.Barbora, , P.Kalita, S.Chatterjee,  P. Mahanta ,P.Goswami","Recent inventions in biodiesel production and processing - A review","2008","Recent Patents on Engineering ","2","1","47","58","8"
"Sukhomay Pal, Surjya K. Pal and Arun K. Samantaray","Sensor based weld bead geometry prediction in pulsed metal inert gas welding process through artificial neural networks","2008","International Journal of Knowledge-Based and Intelligent Engineering Systems","12","2","101","114","0"
"SushovanChatterjee , LepakshiBarbora , Swaranjit Singh ,Cameotra ,PinakeswarMahanta,PranabGoswami","Silk-fiber immobilized lipase-catalyzed   hydrolysis of emulsified sunflower oil","2008","Applied Biochemistry and Biotechnology","157","-","593","600","4"
"R. Tiwari and V. Chakravarthy","Simultaneous Estimation of the Residual Unbalance and Bearing Dynamic Parameters from the Experimental Data in a Rotor-Bearing System","2008","Mechanism and Machine Theory","44","4","792","812","8"
"R. Das, S.C. Mishra and R. Uppaluri","Simultaneous reconstruction of thermal field and retrieval of parameters in a cylindrical enclosure","2008","Numerical Heat Transfer, Part A ","54","-","983","998","6"
"S.C. Mishra, N.C. Behera, A.K. Garg and A. Mishra","Solidification of a 2-D semitransparent medium using the lattice Boltzmann method and the finite volume method","2008","International Journal of Heat and Mass Transfer","51","-","4447","4460","11"
"Y.S. Kushwah, P. Mahanta and S.C. Mishra","Some studies on fuel characteristics of Mesua Ferrea","2008","Heat Transfer Engineering","29","4","405","409","2"
"S. R. Deepak and A. Ghosal","Special coordinates associated with recursive forward dynamics algorithm for open loop rigid multibody systems","2008","Mechanics","75","5","1","11","0"
"G.V. Durga  Prasad, M. Pandey","Stability analysis and nonlinear dynamics of natural circulation boiling water  reactors","2008","Nuclear Engineering and Design","238","-","229","240","17"
"S. K. Laha, H. Banjare, S. K. Kakoty","Stability analysis of flexible rotor supported on finite hydrodynamic porous journal bearing using non-linear transient method","2008","Journal of Engineering Tribology ","222","7","963","974","1"
"G.V. Durga Prasad, M. Pandey, S.K. Pradhan, S.K. Gupta","Study of flow instabilities in double channel natural circulation boiling systems","2008","Nuclear Engineering and Design","238","-","1750","1761","9"
"Muthukumar P, Maiya MP, Murthy SS, Vijay R, Sundaresan R","Tests on mechanically alloyed Mg2Ni for hydrogen storage","2008","Journal of Alloys and Compound","452","2","456","461","11"
"R. Muthukumaran and S.C. Mishra","Thermal signatures of a localized inhomogeneity in a 2D participating medium subjected to an ultra-fast step-pulse laser wave","2008","Journal of Quantitative Spectroscopy and Radiative Transfer","109","-","705","726","14"
"R. Muthukumaran and S.C. Mishra","Transient response of a planar participating medium subjected to a train of short-pulse radiation","2008","International Journal of Heat and Mass Transfer","51","-","2418","2432","14"
"R. Muthukumaran and S.C. Mishra","Transport of a train of short-pulse radiation of step temporal profile through a 2-D participating medium","2008","International Journal of Heat and Mass Transfer","51","-","2282","2298","9"
"P.C. Dumir, S. Kapuria, P. Kumari, J.K. Nath","Two-dimensional benchmark solution for buckling and vibration of simply supported hybrid piezoelectric angle-ply flat panels","2008","ZAMM-Zeitschrift Fur Angewandte Mathematik Und Mechanik ","88","1","42","57","3"
"S. Bag, A. Trivedi and A. De","Use of multivariate optimization algorithm to develop self-consistent numerical heat transfer model for laser spot welding","2008","International Journal of Advanced Manufacturing Technology","38","-","575","585","10"
"S.C. Mishra, A. Shukla and V. Yadav","View factor calculation in the 2-D geometries using the collapsed dimension method","2008","Int. Communications in Heat and Mass Transfer","35","-","630","636","1"
"Biswas Pankaj and Mandal N. R. ","Welding Distortion Simulation of Large Stiffened Plate Panels","2008","Journal of Ship Production","24","1","50","56","7"
"Biswas Pankaj, Mandal N. R. and Sha, O. P. ","3-D FEM and ANN prediction of thermal history and residual deformation of line heating by oxy acetylene gas flame","2009","Journal of Mechanical Behavior of Materials","19","1","83","104","0"
"Biswas Pankaj and Mandal N. R.","3D FEM and Experimental Thermo-mechanical analysis of Single Pass Single Sided Submerged Arc Welding of C-Mn Steel Plates","2009","Proc. IMechE, Part-B","224","-","1","13","0"
"S. R. Deepak, M. Dinesh, D. K. Sahu, and G. K. Ananthasuresh","A comparative study of the formulations and benchmark problems for the topology optimization of compliant mechanisms","2009","Journal of Mechanisms and Robotics","1","1","1","8","2"
"Biswas Pankaj and Mandal N. R. ","A comparative study of three different approaches of FE analysis for prediction of welding distortion of orthogonally stiffened plate panels","2009","Journal of Ship Production","25","4","1","7","5"
"S. Bag, A. De and T. DebRoy","A genetic algorithm assisted inverse convective heat transfer model for tailoring weld geometry","2009","Materials and Manufacturing Processes","24","3","384","397","14"
"D.K. Ojha, U.S. Dixit and J. Paulo Davim","A soft computing based optimization of multi-pass turning processes","2009","Int. J. Materials and Product Technology","35","-","145","166","4"
"Satyajit Panda and M. C. Ray","Active control of geometrically nonlinear vibrations of functionally graded laminated composite plates using piezoelectric fiber reinforced composites","2009","Journal of Sound and Vibration","325","-","186","205","13"
"P.P. Gudur and U.S. Dixit","An application of fuzzy inference for  studying the dependency of roll force and roll torque on process   variables in cold flat rolling","2009","Int. J. Advanced Manufacturing Technology","42","1","41","52","3"
"K. Veerababu, R. Ganesh Narayanan, G. Saravanakumar","An expert system based on artificial neural network for predicting the tensile behavior of tailor welded blanks","2009","Expert system with applications","36","-","683","695","19"
"K. Sunil Kumar, R. Tiwari and P.V.V.N. Prasad","An Optimum Design of Crowned Cylindrical Roller Bearings Using Genetic Algorithms","2009","Transactions of ASME , Journal of Mechanical Design","131","5","051011-1","14","2"
"Mondal and S.C. Mishra","Analysis of 3-D conductive-radiative transfer  using LBM and FVM on non-uniform lattices","2009","Journal of Thermophysics and Heat Transfer","23","1","210","216","0"
"S.C. Mishra and  T.B. Pavan Kumar","Analysis of a hyperbolic heat conduction-radiation problem with temperature dependent thermal conductivity","2009","ASME Journal  of Heat Transfer","131","-","111302: 1","7","9"
"D. S. Kumar, A. K. Dass and A. Dewan","Analysis of non-Darcy models for mixed convection in a cavity using multigrid approach","2009","Numerical Heat Transfer Part A","56","8","685","708","13"
"R.M. Bhatnagar, B. Bhattacharya and G. Biswas","Analysis of Pilot Valve and Taper Groove Based Damper","2009","Proceedings of I Mech E London Part C, J. Mechanical Engineering Science","223","-","859","871","1"
"Lakshmanan, S.P., Pandey, M. ","Analysis of startup oscillations in natural circulation boiling systems","2009","Nuclear Engineering and Design ","239","11","2391","2398","4"
"R. Muthukumaran and S.C. Mishra","Analysis of the transport of a train of short-pulse radiation of Gaussian temporal profile through a 2-D participating medium","2009","Heat Transfer Engineering","30","14","1197","1207","2"
"S. Kapuria, P. Kumari, J.K. Nath","Analytical piezoelasticity solution for vibration of piezoelectric laminated angle-ply circular cylindrical panels","2009","Journal of Sound and Vibration","324","04-05.","832","849","5"
"P.C. Dumir, P. Kumari, S. Kapuria","Assessment of third order smeared and zigzag theories for buckling and vibration of flat angle-ply hybrid piezoelectric panels","2009","Composite Structures","90","3","346","362","4"
"D. Bandopadhya, B. Bhattacharya, A. Dutta","Characterization of IPMC as Passive and Active Damper as an Alternative Novel Smart Actuator","2009","Journal of Reinforced Plastics and Composites","38","8","183","200","3"
"I. Khan, M., Baruah , A.  Dewan, P. Mahanta","Computational investigation of energy efficient pin fin cross section for a compact heat exchanger","2009","International Energy Journal ","10","4","233","246","0"
"I. Chakraborty, B. Ray, G. Biswas, F. Durst, A. Sharma, and P. S. Ghoshdastidar","Computational Investigation on Bubble Detachment from Submerged Orifice in Quiescent Liquid under Normal and Reduced Gravity","2009","Physics of Fluids","21","-","062103-1","17","21"
"Satheesh A, Muthukumar P, Dewan A","Computational study of metal hydride cooling system","2009","Int. J. Hydrogen Energy","34","-","3164","3172","13"
"Satyajit Panda and M. C. Ray","Control of nonlinear vibrations of functionally graded plates using 1-3 piezoelectric composite","2009","AIAA Journal","47","-","1421","1434","1"
"M. K. Sinha, S. Deb and U.S. Dixit","Design of a multi-hole extrusion process","2009","Materials and Design","30","-","330","334","5"
"Jagu S. Rao and R. Tiwari","Design Optimization of Double-Acting Hybrid Magnetic Thrust Bearings with Control Integration Using Multi-Objective Evolutionary Algorithms.","2009","Mechatronics","19","6","945","964","11"
"P. Kalita, G. Mohan, G. P. Kumar and P. Mahanta","Determination and comparison of kinetic parameters of low density biomass Fuels","2009","Journal of Renewable and Sustainable Energy, American Institute of Physics","1","23109","1","12","0"
"C. Subramanian and S. Senthilvelan","Development and Preliminary Performance Evaluation of Discontinuous Fiber Reinforced Thermoplastic Leaf spring","2009","Journal of Materials: Design and Applications, Proc. of Ins. Mech. E Part L","223","3","131","142","0"
"S. Bag, A. Trivedi and A. De","Development of a finite element based conduction mode heat transfer model for laser welding process using an adaptive volumetric heat source","2009","International Journal of Thermal Science","48","10","1923","1931","14"
"Joshi S. N. and Pande S. S. ","Development of an intelligent process model for EDM","2009","International Journal of Advanced Manufacturing Technology","45","3","300","317","10"
"Eswaran M, Saha UK, and Maity D","Effect of Baffles on Partially Filled Cubic Tank: Numerical Simulation and Experimental Validation","2009","Computers and Structures","87","-","198","205","29"
"Kulkarni V. N and Reddy K.P.J","Effect of counterflow supersonic jet on blunt body heat transfer rates for oncoming high enthalpy flow","2009","Journal of engineering physics and thermophysics","8","1","3","7","1"
"Sahoo BB, Sahoo N, and Saha UK","Effect of Engine Parameters and Type of Gaseous Fuel on the Performance of Dual Fuel Gas Diesel Engines - A Critical Review","2009","Renewable and Sustainable Energy Reviews","13","-","1151","1184","57"
"B.B. Sahoo, N. Sahoo and U.K. Saha","Effect of engine parameters and type of gaseous fuel on the performance of dual-fuel gas diesel engines – A critical review","2009","Renewable and Sustainable Energy Reviews","13","-","1151","1184","57"
"S. Kakati, P. Mahanta","Effect of fin-aided burner on thermal performance of pressurized kerosene stove ","2009","Journal of Enhanced Heat Transfer","16","1","35","42","0"
"C. Subramanian and S. Senthilvelan","Effect of Reinforced Fiber length on Hysteretic Heating of Discontinuous Fiber Reinforced Polypropylene","2009","International Journal of Polymeric Materials","58","7","347","354","4"
"Hrishikesh P. Gadgil, B. N. Raghunandan","Effect of skewness on the characteristics of impinging jet atomizers","2009","Atomization and Sprays","19","1","1","18","4"
"G. Biswas and S. Sarkar","Effect of Thermal Buoyancy on Vortex Shedding Past a Circular Cylinder in Cross Flow at Low Reynolds Numbers","2009","International Journal of Heat and Mass Transfer","52","-","1897","1912","24"
"Anil, N. and Chakraborty, D.","Effective properties of Thermo-Electro-Mechanically Coupled Piezoelectric Fiber Reinforced Composites","2009","Materials and Design","30","-","1216","1222","18"
"S. Senthilvelan and R. Gnanamoorthy","Efficiency of Injection Molded Polymer Composite Spur Gears","2009","Journal of Engineering Tribology, Proc. of Ins. Mech. E Part J","226","6","925","928","3"
"P. Kumari, J.K. Nath, S. Kapuria, P.C. Dumir","Efficient global zigzag theory for elastic laminated plates","2009","Journal of Reinforced Plastics and Composites","28","9","1025","1047","0"
"S. D. Kore, P. P. Date, S.V. Kulkarni, Satendra Kumar, Dolly Rani, M. R. Kulkarni, S.V. Desai, R.K. Rajawat, K.V. Nagesh, and D.P. Chakravarty","Electromagnetic Welding of Al-to-Al-Li Sheets","2009","ASME, Journal of Manufacturing Science and Engineering","131","-","1","4","2"
"D.K. Sarma and U.S. Dixit","Environment-friendly strategies for efficient utilization of cutting  tools in finish turning, Transaction of ASME","2009","Journal of Manufacturing Science and Engineering","131","6","64506-1","5","0"
"Mamilla Ravi Sankar, J. Ramkumar and V.K. Jain","Experimental investigation and mechanism of material removal in nano finishing of MMCs using abrasive flow finishing (AFF) process","2009","Wear","266","7-8.","688","698","0"
"Mamilla Ravi Sankar, S. Mondal, J. Ramkumar, V.K. Jain","Experimental Investigations and Modeling of Drill Bit Guided Abrasive Flow Finishing (DBG-AFF) Process","2009","International Journal of Advanced Manufacturing Technology","42","7-8.","678","688","9"
"Panigrahy PK, Saha UK, and Maity D","Experimental Studies on Sloshing Behaviour Due to Horizontal Movement of Liquids in Baffled Tanks","2009","Ocean Engineering","36","-","213","222","38"
"Biswas Pankaj and Mandal N. R., ","Experimental Study on Friction Stir Welding of Marine grade Aluminum Alloy","2009","Journal of Ship Production","25","1","1","6","6"
"Biswas Pankaj, Mandal N. R., Saravanan M. and Velmurugan S.","Experimental Study on Square-Butt Single-Pass Single-Side Submerged Arc Welding of Low-Carbon Microalloyed Steel","2009","Journal of Ship Production","25","2","1","7","0"
"A. P. Singh, A. K. De, V. K. Carpenter, V. Eswaran and K. Muralidhar","Flow past a transversely oscillating square cylinder in free stream","2009","International Journal for Numerical Methods in Fluids","61","6","658","682","7"
"A. Banerjee, B. Bhattacharya, and A. K. Mallik","Forward and inverse analyses of smart compliant mechanism for path generation","2009","Mechanism and Machine Theory","44","-","369","381","10"
"Roy T. and Chakraborty D.","Genetic algorithm based optimal control of smart composite shell structures under mechanical loading and thermal gradient","2009","Smart Materials and Structures","18","11","1","12","10"
"Roy T. and Chakraborty, D.","Genetic Algorithm based Optimal Design for Vibration Control of Composite Shell Structures using Piezoelectric Sensors and Actuators","2009","International Journal of Mechanics of Materials and Design","5","1","45","60","5"
"G. Tomar, G. Biswas, A. Sharma and S.W.J. Welch","Influence of Electric Field on Saturated Film Boiling","2009","Physics of Fluids","21","12","1","13","4"
"S. R. Deepak and G. K. Ananthasuresh","James watt and his linkages","2009"," Resonance","14","-","530","543","1"
"N. Raghavendra, Rakshit Koranne, Sukhomay Pal, Surjya K. Pal and Arun K. Samantaray","Joint strength prediction in a pulsed MIG welding process using hybrid optimized model","2009","International Journal of Advanced Manufacturing Technology","41","-","694","705","1"
"S.C. Mishra, M.Y. Kim, R. Das, M. Ajith and R. Uppaluri","Lattice Boltzmann method applied to the analysis of transient conduction-radiation problem in a cylindrical medium","2009","Numerical Heat Transfer, Part A","56","-","42","59","17"
"Muthukumar P, Linder M, Mertz R, Laurien E","Measurement of thermodynamic properties of some hydrogen absorbing alloys","2009","Int. J. Hydrogen Energy","34","-","1873","1879","14"
"D. Bandopadhya and J. Njuguna","Modeling and Analysis of an IPMC Rocker Based 4-bar for Variable Path Generation Using Euler-Bernoulli Approach","2009","Journal of Mechanical Engineering Science","223","10","2405","2411","0"
"Fonseca A, Kanagaraj S, Oliveira MSA, Simoes JAO","Nanocompositos para aplicacoes biomedicas","2009","O Molde Ano","21","81","31","35","0"
"B. Pratiher and S. K. Dwivedy","Nonlinear dynamics of a soft magneto-elastic Cartesian manipulator","2009"," International Journal of Nonlinear Mechanics","44","7","757","768","0"
"B. Pratiher and S. K. Dwivedy","Nonlinear Vibration of a Magneto-Elastic Cantilever Beam with Tip Mass","2009","Journal of Vibration and Acoustics","131","2","1","9","9"
"B. Mondal and S.C. Mishra","Numerical analysis of solidification of a 3-D semitransparent medium in presence of volumetric radiation","2009","International Journal of Thermal Sciences","48","-","1116","1128","8"
"Biswas Pankaj, Mahapatra M. M. and Mandal N. R. ","Numerical and experimental   study on prediction of thermal history and residual deformation of double sided fillet welding","2009","Part B, Journal of Engineering Manufacture","223","-","1","10","3"
"Muthukumar P, Satheesh A, Madhavakrishna U, Dewan A","Numerical investigation of coupled heat and mass transfer during desorption of hydrogen in metal hydride beds","2009","Energy Conversion and Management","50","1","69","75","7"
"D. Chatterjee, G. Biswas and S. Amiroudine","Numerical Investigation of Forced Convection Heat Transfer in Unsteady Flow Past a Row of Square Cylinders","2009","International Journal of Heat and Fluid Flow","30","-","1114","1128","8"
"Muthukumar P, Ramana SV","Numerical simulation of coupled heat and mass transfer in metal hydride based hydrogen storage reactor","2009","Journal of Alloys Compound","472","-","466","472","19"
"D. A. Perumal, V. Krishna, G. Sarvesh, A. K. Dass","Numerical Simulation of Gaseous Microflows by Lattice Boltzmann Method","2009","International Journal of Recent Trends in Engineering","1","-","15","20","0"
"Roy T. and Chakraborty, D.","Optimal Vibration Control of Smart Fiber Reinforced Composite Shell Structures using Improved Genetic Algorithm","2009","Journal of Sound and Vibration ","319","-","15","40","22"
"M. Ajith, R.  Das, R. Uppaluri and S.C. Mishra","Optimization of heat fluxes on the heater and the design surfaces of a radiating-conducting medium","2009","Numerical Heat Transfer, Part A","56","10","846","860","8"
"Sukhomay Pal, Santosh Malviya, Surjya K. Pal and Arun K. Samantaray","Optimization of quality characteristics parameters in a pulsed metal inert gas welding process using grey-based Taguchi method","2009","International Journal of Advanced Manufacturing Technology","44","-","1250","1260","9"
"R. Das, S.C. Mishra and R. Uppaluri","Retrieval of thermal properties in a transient conduction radiation problem with variable thermal conductivity","2009","International Journal of Heat and Mass Transfer","52","-","2749","2758","19"
"Ajay Sidpara, Manas Das, V.K. Jain","Rheological Characterization of Magnetorheological finishing Fluid","2009","Journal of Materials and Manufacturing Processes","24","12","1467","1478","17"
"Ganesh, N., N Shende and Balakrishnan, N.","R-parameter: A Local truncation error based adaptive framework for finite volume compressible flow solvers","2009","Computers and Fluids","38","9","1799","1822","6"
"P. Goswami,  L. Barbora,  S.S. Cameotra, P. Mahanta,  S. Chatterjee","Silk-fiber immobilized lipase-catalyzed hydrolysis of emulsified sunflower oil","2009","Applied Biochemistry and Biotechnology ","157","3","593","600","4"
"B. Mondal and  S.C. Mishra","Simulation of natural convection in the presence of volumetric radiation using the lattice Boltzmann method","2009","Numerical Heat Transfer, Part A","55","-","18","41","33"
"S.C. Mishra, B. Mondal, T. Kush and B.S.R. Krishna","Solving transient heat conduction problems on uniform and non-uniform lattices using the lattice Boltzmann method","2009","Int. Communications in Heat and Mass Transfer","36","-","322","338","13"
"S. Sen, S. Mittal and G. Biswas","Steady Separated Flow Past a Circular Cylinder at Low Reynolds Numbers","2009","Journal of Fluid Mechanics","620","-","89","119","20"
"DN Basu, S Bhattacharyya and PK Das","Steady-state Behavior of a Two-phase Natural Circulation Loop with Thermodynamic Nonequilibrium","2009","ASME Journal of Heat Transfer","131","2","1","12","4"
"Muthukumar P, Satheesh A, Linder M, Mertz R, Groll M","Studies on hydriding kinetics of some La-based metal hydride alloys","2009","Int. J. Hydrogen Energy ","34","-","7253","7262","18"
"Muthukumar P, Umekar MM","Study of coupled heat and mass transfer during absorption in a MmNi4.6Al0.4 based hydrogen storage device","2009","Sadhana","34","-","255","270","1"
"Lakshmanan, S.P., Pandey, M., Pradeep Kumar, P., Iyer, K.N. ","Study of startup transients and power ramping of natural circulation boiling systems","2009","Nuclear Engineering and Design","239","6","1076","1083","5"
"B. Mondal and S.C. Mishra","The lattice Boltzmann method and the finite volume method applied to conduction-radiation problems with heat flux boundary conditions","2009","International Journal for Numerical Methods in Engineering","78","2","172","195","5"
"M.K. Sinha, S. Deb, R. Das and U.S. Dixit","Theoretical and experimental investigations on multi-hole extrusion process","2009","Materials & Design","30","-","2386","2392","6"
"M. Sharma, S.C. Mishra and P. Acharjee","Thermal efficiency study of conventional kerosene pressure stoves equipped with porous radiant inserts","2009","International Journal of Energy Research","10","4","247","254","1"
"P.V. Jogdand and K.S.R.K. Murthy","A finite element based interior collocation method for the computation of stress intensity factors and T-stresses","2010","Engineering Fracture Mechanics","77","-","1116","1127","4"
"P. Asinari, S.C. Mishra and R. Borchiellini","A lattice Boltzmann formulation to the analysis of radiative heat transfer problems in a participating medium","2010","Numerical Heat Transfer, Part B","57","2","126","146","12"
"D. S. Kumar, A. K. Dass and A. Dewan","A Multigrid-Accelerated Code on Graded Cartesian Meshes for 2D Time-Dependent Incompressible Viscous Flows","2010","Engineering Applications of Computational Fluid Mechanics","4","-","71","90","0"
"D. S. Kumar, A. K. Dass and A. Dewan","A multigrid-accelerated three-dimensional transient-flow code and its application to a new test problem","2010","Journal of Hydrodynamics","22","6","838","846","0"
"M. Hazarika, U.S. Dixit and S. Deb","A setup planning methodology for prismatic parts considering fixturing aspects","2010","International Journal of Advanced Manufacturing","51","9-12.","1099","1109","2"
"C. Subramanian and S. Senthilvelan","Abrasive Behavior of Discontinuous Fiber Reinforced Polypropylene Material","2010","Industrial Lubrication and Tribology","62","4","187","196","0"
"Kulkarni V. N and Reddy K.P.J","Accelerometer based force balance for high enthalpy facilities","2010","Journal of Aerospace Engineering","23","4","276","280","0"
"Khoo W. K. S., Kalita K, Garvey S. D., Hill-Cottingham R. J., Rodger D. and Eastham J. F.","Active Axial-MMF Parallel-Airgap Serial Flux Magnetic Bearings","2010","IEEE Transactions on Magnetics","46","7","2596","2602","0"
"K.S.R.K. Murthy and M. Mukhopadhyay","Adaptive finite element analysis of mixed-mode crack problems with automatic mesh generator","2010","Journal for Numerical Methods in Engineering","49","-","1087","1100","10"
"K. Veerababu, R. Ganesh Narayanan, G. Saravanakumar","An expert system for predicting the deep drawing behavior of tailor welded blanks","2010","Expert system with applications","37","12","7802","7812","12"
"S.C. Mishra, A. Stephen and M.Y. Kim","Analysis of non-Fourier conduction-radiation heat transfer in a cylindrical enclosure","2010","Numerical Heat Transfer, Part A","58","12","943","962","6"
"Biswas Pankaj and Mandal N. R. ","Analysis of Welding Distortion due to Narrow Gap welding of Upper Port Plug ","2010","Fusion Engineering and Design","85","-","780","788","7"
"B. Srinivas Naik, P. Janaki Ramulu, R. Ganesh Narayanan","Application of few necking criteria in predicting the forming limit of un-welded and tailor welded blanks","2010","Journal of Strain Analysis for Engineering Design","45","2","79","96","0"
"D. A. Perumal, G. V. S. Kumar, A. K. Dass","Application of Lattice Boltzmann Method to Flows in Microgeometries","2010","CFD letters","2","-","75","84","0"
" M. Chandrasekaran, M. Muralidhar, C. Murali Krishna and U.S. Dixit","Application of soft computing techniques in machining performance prediction and optimization: a literature review","2010","Int. J. Advanced Manufacturing Technology","46","5-8.","445","464","47"
"P. Saha and G. Biswas","Assessment of a Shear-Improved Subgrid Stress Closure for Turbulent Channel Flows","2010","International Journal of Heat and Mass Transfer","53","-","4856","4863","3"
"B. Buragohain, P. Mahanta, V.S. Moholkar","Biomass gasification for decentralized power generation: The Indian perspective","2010","Renewable and Sustainable Energy Reviews ","14","1","73","92","43"
"M. Ajith, R. Das, R. Uppaluri and S.C. Mishra","Boundary heat fluxes in a square enclosure with an embedded design element","2010","Journal of Thermophysics and Heat Transfer","24","4","845","849","1"
"D. Bandopadhya and J. Njuguna","Comparative Performance Studies of Active Vibration Control by IPMC with Kalman Estimation Algorithm","2010","IEEE Transaction on Control","18","-","1","2","0"
"M. Baruah, A. Dewanand P. Mahanta","Comparison of straight, perforated and tapered elliptical pin fin compact heat exchangers","2010","IUP Journal of Mechanical Engineering","3","4","7","27","0"
"Kulkarni V. N and Reddy K.P.J","Counterflow drag reduction studies for a blunt cone in high enthalpy flow","2010","International Journal of Hypersonics","1","1","69","76","0"
"D. Bandopadhya","Derivation of Transfer Function of an IPMC Actuator Based on Pseudo-Rigid Body Model","2010","International Journal of Reinforced Plastics and composites","29","3","372","390","2"
"M. Karthikeyan, and R. Tiwari","Detection, localization, and sizing of a structural flaw in a beam based on forced response measurements- An experimental investigation.","2010","Mechanism and Machine Theory","45","4","584","600","2"
"Sukhomay Pal, Surjya K. Pal and Arun K. Samantaray","Determination of optimal pulse metal inert gas welding parameters with a Neuro-GA technique","2010","Materials and Manufacturing Processes","25","-","606","615","9"
"S. S. Gautam, and P. M. Dixit","Ductile Failure Simulation in Spherodized Steel using a Continuum Damage Mechanics Coupled Finite Element Formulation","2010","International Journal of Computational Methods","7","2","319","348","1"
"S. K. Dwivedy, Srinivasulu. M, K. Sathis Narayan and A. Koushik","Dynamic analysis of composite flexible robotic manipulator with harmonic drives using finite element method","2010","Advances in Vibration Engineering  ","8","3-4.","313","320","0"
"S.K. Dwivedy, M. Srinivas","Dynamic instability of MRE embedded  soft cored sandwich beam with nonconductive skins","2010","Shock and Vibration","18","6","759","788","0"
"R.  S.  Patil,  M.  Pandey,  P.  Mahanta","Effect  of  Scale-up  on  Heat  Transfer Characteristics  in  Upper  Splash  Region  of  Circulating  Fluidized  Bed  Risers","2010","Journal of Energy and Power Engineering","4","6","9","15","0"
"M. Hazarika, U.S. Dixit and S. Deb","Effect of Datum Surface Roughness on Parallelism and Perpendicularity Tolerances in Milling of Prismatic Parts","2010","Proc. IMechE,  Part B: J. Engineering Manufacture","224","B9","1377","1388","0"
"P. Mahanta, R. S. Patil, and M. Pandey","Effect of particle size and sand inventory on wall-to-bed heat transfer characteristics of circulating fluidized bed riser","2010","World Congress on Engineering","2","-","1495","1500","0"
"C. Subramanian and S.Senthilvelan","Effect of Reinforced Fiber Length on the Joint Performance of Thermoplastic Leaf spring","2010","Materials and Design","31","-","3733","3741","7"
"R. S. Patil, M. Pandey and P. Mahanta","Effect of scale-up of lower and middle splash region on heat transfer characteristics of circulating fluidized bed risers","2010","Proceedings of the Institution of Mechanical Engineers, Part A: Journal of Power and Energy","224","8","1059","1068","0"
"Patil, R.S., Pandey, M., Mahanta, P. ","Effect of scale-up on heat transfer characteristics in upper splash region of circulating fluidized bed risers","2010","Journal of Energy and Power Engineering (David)","4","6","1","7","0"
"R. S. Patil, P. Mahantaand M. Pandey ","Effect of scale-up on heat transfer characteristics of cyclone separators of circulating fluidized beds","2010","International Energy Journal ","11","3","123","130","0"
"Sanjib Banerjee, P.S. Robi, A. Srinivasan, Praveen Kumar Lakavath","Effect of trace additions of Sn on microstructure and mechanical properties of Al–Cu–Mg alloys","2010","Materials & Design","31","8","4007","4015","10"
"Kulkarni V. N, Menezes V. and Reddy K.P.J","Effectiveness of forward facing spike for drag reduction on a large angle blunt cone in hypersonic flow","2010","Journal of Spacecraft and Rockets","43","3","542","544","0"
"S. Kapuria,  P. Kumari,  J. K. Nath","Efficient modeling of smart piezoelectric composite laminates-A review","2010","Acta Mechanica","214","-","31","48","16"
"S. D. Kore, P. P. Date, S.V. Kulkarni, Satendra Kumar, Dolly Rani, M. R. Kulkarni, S.V. Desai, R.K. Rajawat, K.V. Nagesh, and D.P. Chakravarty","Electromagnetic impact welding of Cu to Cu sheets","2010","International Journal of Material Forming","3","-","117","121","2"
"S.D. Kore, J. Imbert, M.J. Worswick, Y. Zhou","Electromagnetic Impact Welding of Mg to Al Sheets","2010","Science and Technology Welding and Joining","14","6","549","553","15"
"Muthukumar P, Groll M","Erratum to Metal hydride based heating and cooling systems: A review","2010","International Journal of Hydrogen Energy","35","-","3817","3831","9"
"S. Bag and A. De","Error analysis of forward and reverse heat conduction and convection calculations considering uncertainties in welding","2010","Science and Technology of Welding and Joining","14","9","662","668","2"
"D. K. Biswal, D. Bandopadhya , and  S. K. Dwivedy","Evaluation of dehydration loss and investigation of its effect on bending response of segmented IPMC actuators","2010","International Journal of Smart and Nano Materials","110-116","3","187","200","2"
"R.N.Mehta, M. Chakraborty, P. Mahanta, P.A. Parikh","Evaluation of fuel properties of butanol-biodiesel-diesel blends and their impact on engine performance and emissions","2010","Industrial and Engineering Chemistry Research ","49","16","7660","7665","8"
"Mamilla Ravi Sankar, V.K. Jain and J. Ramkumar","Experimental investigations into rotating workpiece Abrasive flow finishing","2010","Wear","267","1-4.","43","51","10"
"C. Subramanian and S. Senthilvelan","Fatigue Performance of Discontinuous Fiber Reinforced Thermoplastic Leaf spring","2010","Journal of Materials: Design and Applications, Proc. of Ins. Mech. E Part L","224","3","93","100","1"
"N. Sahoo and K.P.J. Reddy","Force measurement techniques for hypersonic flows in shock tunnel","2010","International Journal of Hypersonics","1","1","31","57","0"
"B. Ray, G. Biswas and A. Sharma","Generation of secondary droplets in coalescence of a drop at a liquid/ liquid interface","2010","Journal of Fluid Mechanics","655","-","72","104","5"
